,date-produced,dtd-version,lang,produced-by,status,ep-patent-statuses,bibliographic-data,procedural-data,events-data
0,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
1,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
2,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
3,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
4,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
5,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
6,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
7,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
8,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
9,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
10,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
11,20220302,1.3.3,en,RO,Patent maintained as amended,,,,
12,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
13,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
14,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
15,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
16,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
17,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
18,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
19,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
20,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
21,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
22,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
23,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
24,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
25,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
26,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
27,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
28,20220302,1.3.3,en,RO,Patent revoked,,,,
29,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
30,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
31,20220302,1.3.3,en,RO,Opposition rejected,,,,
32,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
33,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
34,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
35,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
36,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
37,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
38,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
39,20220302,1.3.3,en,RO,Patent revoked,,,,
40,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
41,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
42,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
43,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
44,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
45,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
46,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
47,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
48,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
49,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
50,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
51,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
52,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
53,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
54,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
55,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
56,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
57,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
58,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
59,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
60,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
61,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
62,20220302,1.3.3,en,RO,Patent maintained as amended,,,,
63,20220302,1.3.3,en,RO,Opposition rejected,,,,
64,20220302,1.3.3,en,RO,Patent maintained as amended,,,,
65,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
66,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
67,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
68,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
69,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
70,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
71,20220302,1.3.3,en,RO,Patent maintained as amended,,,,
72,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
73,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
74,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
75,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
76,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
77,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
78,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
79,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
80,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
81,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
82,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
83,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
84,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
85,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
86,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
87,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
88,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
89,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
90,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
91,20220302,1.3.3,en,RO,The application has been withdrawn,,,,
92,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
93,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
94,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
95,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
96,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
97,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
98,20220302,1.3.3,en,RO,No opposition filed within time limit,,,,
99,20220302,1.3.3,en,RO,The application is deemed to be withdrawn,,,,
